"CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Race alone or in combination with one or more other races!!Total population,Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population!!Asian,Race alone or in combination with one or more other races!!Total population!!Black or African American,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,Race alone or in combination with one or more other races!!Total population!!White,RACE!!Total population,RACE!!Total population!!One race,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!One race!!White,RACE!!Total population!!One race.1,RACE!!Total population!!Two or more races,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races.1,SEX AND AGE!!Total population,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!Under 5 years,Total housing units,Zipcode
5534,2694,2840,7005,110,0,44,66,0,6895,39,38,0,0,0,386,252,134,6432,7005,275,80,0,0,235,6867,7005,6579,39,0,0,0,0,38,0,0,8,22,8,0,0,0,0,0,0,0,0,61,6441,6579,426,0,210,42,0,426,7005,532,219,5669,5556,2708,2848,105.2,5556,300,5392,527,769,883,338,390,828,2219,1222,1790,892,898,100.7,1790,390,178,3395,3610,48.1,106.3,1449,429,4205,83856
24406,12376,12030,35297,3874,0,2911,945,18,31423,308,6073,2175,905,494,2411,2229,182,19057,35297,998,7159,2984,1354,3228,22860,35297,32306,373,5,5,0,7,6092,1145,805,1154,284,1532,726,446,2236,905,29,63,284,529,2552,20148,32306,2991,77,490,708,517,2991,35297,2210,1994,27932,26904,13511,13393,99.1,26904,1600,25871,4405,4944,4707,2880,2791,2834,6540,3308,4924,2612,2312,88.5,4924,1036,580,17099,18198,40.4,106.4,8393,2008,12105,98001
22320,11182,11138,35915,8164,64,7145,778,177,27751,481,2347,3227,1125,121,2959,2548,411,17491,35915,1435,3368,4959,1332,5353,23733,35915,31941,551,14,0,15,7,2361,230,105,851,45,94,704,332,3350,1125,42,10,682,391,4243,20311,31941,3974,238,473,688,1035,3974,35915,2298,2026,27827,27001,13333,13668,102.5,27001,2180,25905,5906,4460,4526,2586,2302,2191,5662,2863,4725,2596,2129,82,4725,1305,557,17668,18247,35.4,103.3,8914,2715,15026,98002
30975,15557,15418,50501,10445,57,8394,1725,269,40056,161,6357,9454,1022,318,4461,3926,535,18283,50501,1284,7596,11964,1791,8132,27009,50501,43972,236,0,14,8,10,6425,387,587,1537,172,1325,954,1463,9707,1022,149,199,77,597,5671,20911,43972,6529,41,737,644,1479,6529,50501,3564,3860,40119,38517,18957,19560,103.2,38517,2898,36037,8051,6253,5484,2829,3212,3304,9393,4645,7489,4294,3195,74.4,7489,1940,904,24864,25637,35.9,103.1,11984,3557,19809,98003
23100,11508,11592,38632,1959,21,1068,781,89,36673,94,14408,750,144,252,2023,1822,201,19002,38632,206,16029,1181,268,1160,22338,38632,36233,109,0,0,0,0,14417,4248,5830,331,1208,1447,1015,338,750,144,0,5,47,92,653,20160,36233,2399,0,85,1257,195,2399,38632,1716,1848,32678,31847,15757,16090,102.1,31847,1863,31104,9148,5770,4934,1906,2831,1464,6278,2637,5281,2869,2412,84.1,5281,1335,1309,18418,20214,37,109.8,6785,1871,19989,98004
11359,5566,5793,21603,1268,28,744,477,19,20335,13,9987,305,0,79,928,778,150,9023,21603,74,10567,502,46,1028,10880,21603,20109,26,0,0,0,0,9987,4608,2867,200,449,689,871,303,305,0,0,0,0,0,312,9479,20109,1494,0,48,495,189,1494,21603,1272,995,17229,16804,8332,8472,101.7,16804,945,16188,4212,3532,2934,1257,1250,928,3234,1529,2646,1456,1190,81.7,2646,832,285,10462,11141,36.2,106.5,4799,1632,8929,98005
25441,12716,12725,39595,3304,192,2423,578,111,36291,48,15604,870,29,428,1165,1084,81,18147,39595,281,16576,1063,153,2196,22056,39595,36993,59,0,0,0,0,15655,1788,9081,271,712,1444,1470,889,870,29,0,10,6,13,820,19560,36993,2602,0,130,794,116,2602,39595,3086,2967,31774,30340,15356,14984,97.6,30340,1531,28887,3727,5500,6687,2381,3036,3056,7845,3676,5882,3248,2634,81.1,5882,1779,427,19649,19946,43.1,101.5,9255,1742,14640,98006
14357,6869,7488,28576,2648,71,1844,705,28,25928,154,11909,1640,129,21,1252,763,489,10823,28576,389,12677,2060,133,1268,13763,28576,27007,154,0,8,0,0,12039,7031,2275,500,319,468,1010,436,1640,129,12,59,16,42,527,12518,27007,1569,41,79,309,245,1569,28576,1483,1095,23164,22887,10906,11981,109.9,22887,1371,22285,8086,4284,3197,1661,1314,810,3684,1567,3285,2039,1246,61.1,3285,1051,667,13714,14862,33.3,108.4,5689,1990,12360,98007
16787,8387,8400,26091,2419,20,1906,426,67,23672,23,6529,426,7,106,1368,1221,147,15213,26091,163,7754,569,178,1198,18316,26091,24338,60,0,0,0,0,6550,1970,2364,395,529,248,478,566,426,7,0,0,7,0,646,16649,24338,1753,0,60,961,102,1753,26091,1735,1378,21285,20612,10175,10437,102.6,20612,1236,20117,2921,3573,4075,1584,1858,1469,5821,2529,5118,2877,2241,77.9,5118,1121,1468,12746,13345,43.8,104.7,5479,1144,9794,98008
4394,2174,2220,5963,376,0,170,191,15,5587,5,347,48,0,42,187,168,19,4958,5963,30,490,48,0,409,5378,5963,5571,5,0,0,0,0,347,79,11,217,0,21,19,0,48,0,0,0,0,0,185,4986,5571,392,0,25,143,0,392,5963,483,164,4695,4671,2201,2470,112.2,4671,245,4557,899,848,765,281,639,451,1072,507,787,382,405,106,787,190,90,2830,3133,40.7,110.7,1292,401,2447,98010
