dzip,population,case,resident drivers crashing per 10k residents
1060,15284.0,1,0.654278984559016
2863,19385.0,1,0.5158627805003869
3869,2469.0,1,4.050222762251924
7021,2091.0,1,4.782400765184122
11368,109931.0,1,0.0909661514950287
11575,16272.0,1,0.6145526057030481
14424,27007.0,1,0.3702743733106232
17112,33850.0,1,0.29542097488921715
17603,61973.0,1,0.16136059251609572
18052,26902.0,1,0.3717195747528065
22031,29795.0,1,0.33562678301728477
22153,31285.0,1,0.319642000958926
23803,40542.0,1,0.24665778698633517
28411,31962.0,1,0.31287153494775044
30087,36761.0,1,0.2720274203639727
32084,29729.0,1,0.3363718927646406
32570,28817.0,1,0.34701738557101713
32583,25586.0,1,0.39083873993590246
33478,12704.0,1,0.7871536523929471
34287,23859.0,1,0.41912904983444405
34689,26132.0,1,0.3826725853359865
37811,3215.0,1,3.1104199066874028
39367,15096.0,1,0.6624271330153683
43004,22727.0,1,0.44000528006336076
45219,16526.0,1,0.6051071039574004
46227,57086.0,1,0.1751742984269348
46613,10893.0,1,0.9180207472688883
49408,9091.0,1,1.099989000109999
51239,3123.0,1,3.202049311559398
53717,11962.0,1,0.8359806052499582
55433,33613.0,1,0.2975039419272305
59829,2679.0,1,3.732736095558044
59901,49693.0,1,0.20123558650111686
59923,9856.0,1,1.0146103896103895
59932,1648.0,1,6.067961165048544
59935,3576.0,1,2.796420581655481
60089,41533.0,1,0.24077239785231022
62002,32704.0,1,0.30577299412915854
66109,20480.0,1,0.48828125
68128,17784.0,1,0.5623031938821412
70125,14479.0,1,0.6906554320049727
70714,19803.0,1,0.5049739938393173
70748,6657.0,1,1.502178158329578
72712,40933.0,1,0.24430166369432976
73114,17422.0,1,0.5739869130983813
73505,49809.0,1,0.20076692967134455
74601,20257.0,1,0.49365651379769954
75028,42226.0,1,0.23682091602330319
76401,25702.0,1,0.3890747801727492
76712,23506.0,1,0.4254232961796988
77025,26137.0,1,0.3825993801890041
77433,50539.0,1,0.1978669938067631
77532,26236.0,1,0.38115566397316664
80015,62432.0,1,0.1601742696053306
81416,13874.0,1,0.7207726683004181
83318,17226.0,1,0.5805178218971322
83455,4970.0,1,2.0120724346076457
83501,34230.0,4,1.1685655857434998
83536,4230.0,2,4.7281323877068555
83540,2190.0,1,4.566210045662101
83544,6092.0,1,1.6414970453053184
83607,21732.0,1,0.4601509295048776
83629,1721.0,1,5.810575246949448
83704,39628.0,1,0.2523468254769355
83814,23371.0,1,0.4278807068589277
83815,31015.0,4,1.2896985329679187
83832,1524.0,1,6.561679790026247
83836,1033.0,1,9.68054211035818
83843,25866.0,2,0.7732158045310447
83851,1691.0,1,5.913660555884093
83854,37245.0,9,2.4164317358034637
83858,13656.0,1,0.7322788517867604
83864,17076.0,1,0.5856172405715624
83869,4161.0,2,4.806536890170632
83871,1938.0,1,5.159958720330238
83873,1591.0,1,6.285355122564425
84003,42384.0,1,0.2359380898452246
84015,62494.0,2,0.32003072294940316
84092,29525.0,1,0.3386960203217612
84096,33396.0,1,0.29943705833033896
85029,43233.0,1,0.23130479032220758
85123,10677.0,1,0.9365926758452748
85138,33633.0,1,0.2973270300002973
85201,46092.0,1,0.2169573895686887
85203,35541.0,1,0.28136518387214765
85207,44744.0,1,0.22349365278026104
85213,31797.0,1,0.31449507815202693
85365,46558.0,1,0.21478585849907642
85602,9464.0,1,1.0566356720202874
85710,54439.0,1,0.18369183857161225
85730,38323.0,1,0.2609399055397542
86409,26471.0,1,0.3777719013259794
86510,5358.0,1,1.866368047779022
88310,35776.0,1,0.27951699463327373
89104,39909.0,1,0.2505700468565988
89509,33395.0,1,0.29944602485402005
90003,66266.0,1,0.15090695077415267
90057,44998.0,1,0.2222320992044091
91755,27496.0,1,0.3636892638929299
91977,58368.0,1,0.17132675438596492
92106,19330.0,1,0.5173305742369374
92114,65433.0,1,0.15282808368865863
92341,410.0,1,24.390243902439025
92571,52516.0,1,0.19041815827557315
92675,34731.0,1,0.2879272120008062
92833,51767.0,1,0.19317325709428787
92860,27198.0,1,0.36767409368335907
93022,6106.0,1,1.6377333770062235
93257,75004.0,1,0.13332622260146126
93263,19582.0,1,0.510673067102441
93647,11874.0,1,0.8421761832575375
94015,60927.0,1,0.16413084510972148
94509,62439.0,1,0.16015631256105958
94513,54605.0,1,0.1831334126911455
94520,37208.0,1,0.26875940657923025
94583,34859.0,1,0.2868699618462951
95123,62228.0,2,0.3213987272610401
95206,65004.0,1,0.15383668697310934
95338,11062.0,1,0.903995660820828
