YEAR,"CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Race alone or in combination with one or more other races!!Total population,Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population!!Asian,Race alone or in combination with one or more other races!!Total population!!Black or African American,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,Race alone or in combination with one or more other races!!Total population!!White,RACE!!Total population,RACE!!Total population!!One race,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!One race!!White,RACE!!Total population!!One race.1,RACE!!Total population!!Two or more races,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races.1,SEX AND AGE!!Total population,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!Under 5 years,Total housing units,Zipcode
2020,23577,11951,11626,34455,3820,0,2901,904,15,30635,255,5348,2624,949,199,2141,2057,84,19119,34455,1083,6402,3465,1503,2324,22698,34455,31763,352,0,9,0,23,5369,1067,458,1213,135,1473,570,453,2694,1004,26,58,344,576,1921,20423,31763,2692,184,413,680,355,2692,34455,2053,2087,26998,26063,13119,12944,98.7,26063,1665,24947,4582,4359,4614,2797,2862,2501,6098,3184,4721,2596,2125,81.9,4721,990,547,16664,17791,39.8,106.8,8392,2214,11981,98001
2020,20785,10655,10130,33947,7591,62,6476,702,351,26356,698,1966,3166,1091,51,2698,2345,353,16686,33947,1779,2911,4845,1425,4157,22702,33947,30393,732,13,0,49,7,2002,452,176,630,56,80,449,159,3343,1104,42,38,857,167,3500,19712,30393,3554,184,513,623,1016,3554,33947,2808,1772,25661,25029,12633,12396,98.1,25029,1893,24030,5038,4518,4335,2510,2319,1771,5256,2577,4459,2440,2019,82.7,4459,1363,519,17075,16872,35.7,98.8,8918,2524,14295,98002
2020,30152,15478,14674,49445,10770,37,7719,2792,222,38675,192,5803,8354,1306,296,2503,2109,394,20221,49445,719,6813,9996,1907,7612,26893,49445,45623,266,13,17,8,11,5840,224,471,1268,155,1600,985,1137,8690,1306,7,203,293,803,6055,23466,45623,3822,6,270,511,675,3822,49445,2854,3921,39227,37579,19099,18480,96.8,37579,2991,35364,8198,5729,5337,2902,3323,2983,9289,4264,7381,4259,3122,73.3,7381,2192,925,24792,24653,35.1,99.4,11866,3826,19316,98003
2020,22486,11449,11037,37265,1650,20,717,757,156,35615,72,13307,655,110,71,1617,1575,42,19783,37265,206,14704,1056,117,552,22458,37265,35522,88,0,0,0,17,13314,4145,5499,334,811,1473,827,225,672,110,0,6,42,62,452,20886,35522,1743,16,91,1161,157,1743,37265,1669,1647,31518,30740,15332,15408,100.5,30740,1786,30204,8652,5620,4757,1878,2646,1586,6103,2666,5247,2876,2371,82.4,5247,1378,1203,18132,19133,37.2,105.5,6525,1777,19454,98004
2020,11242,5661,5581,21414,1310,31,875,359,45,20104,29,9667,423,158,31,872,764,108,8924,21414,119,10231,662,171,754,10716,21414,20211,31,0,0,0,0,9667,4601,2827,213,411,429,967,219,441,158,158,0,0,0,315,9599,20211,1203,0,65,474,189,1203,21414,1168,921,17186,16719,8290,8429,101.7,16719,867,16228,4227,3746,2756,1187,1403,797,3167,1496,2644,1450,1194,82.3,2644,877,271,10489,10925,36.5,104.2,4695,1698,8822,98005
2020,24074,12187,11887,37473,2988,118,2237,511,122,34485,46,14057,948,26,382,1375,1337,38,17651,37473,222,15242,1116,186,1837,21511,37473,34897,46,0,0,0,0,14106,2081,7468,294,860,1542,938,923,948,26,0,6,2,18,679,19092,34897,2576,0,139,951,94,2576,37473,2836,2916,29786,28331,14537,13794,94.9,28331,1542,27044,3541,4840,6210,2407,2858,3016,7439,3309,5535,2951,2584,87.6,5535,1717,509,18727,18746,42.9,100.1,9142,1772,13955,98006
2020,13149,6503,6646,28147,2591,75,1737,760,19,25556,164,12095,1327,115,1,1194,789,405,10660,28147,303,12883,1719,115,1141,13279,28147,26894,164,0,8,0,0,12215,7342,2401,498,341,529,720,384,1327,115,0,50,16,49,726,12347,26894,1253,61,58,373,306,1253,28147,1309,708,22643,22411,10871,11540,106.2,22411,1490,21942,8068,4146,2804,1806,1502,821,3692,1518,3241,2057,1184,57.6,3241,1059,664,13365,14782,32.9,110.6,5736,2252,12193,98007
2020,16639,8363,8276,25650,2289,0,1757,460,72,23361,23,6128,400,10,86,1228,1145,83,15486,25650,179,7037,614,59,901,18255,25650,24343,56,0,0,0,0,6128,1955,2156,375,528,241,248,625,400,10,0,1,9,0,730,17019,24343,1307,0,50,844,150,1307,25650,1647,1191,20926,20295,9991,10304,103.1,20295,1214,19858,3223,3419,3907,1485,1780,1382,5731,2458,5066,2832,2234,78.9,5066,1044,1564,12651,12999,43.2,102.8,5355,1336,9672,98008
2020,4538,2360,2178,5882,527,0,262,212,53,5355,1,355,16,0,0,109,90,19,4874,5882,33,413,16,0,170,5359,5882,5773,1,0,0,0,0,355,0,80,246,0,16,13,0,16,0,0,0,0,0,151,5250,5773,109,0,32,58,0,109,5882,319,303,4844,4760,2360,2400,101.7,4760,187,4572,957,775,854,344,456,504,1123,543,862,422,440,104.3,862,238,81,3004,2878,41,95.8,1122,321,2433,98010
2020,22698,10999,11699,34201,4332,76,3163,938,155,29869,59,5209,487,51,40,1946,1562,384,22077,34201,645,6732,860,155,2934,25792,34201,31665,66,13,0,0,0,5324,1710,1626,559,452,253,425,299,521,51,0,42,0,9,2033,23670,31665,2536,15,266,766,198,2536,34201,2004,2257,27695,26773,12953,13820,106.7,26773,1510,25492,5725,5377,4994,2035,2116,1708,5617,2908,4425,2533,1892,74.7,4425,816,701,16519,17682,37.6,107,7428,2050,14223,98011
